porttitor id,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,13,false
in,eu felis fusce posuere felis sed lacus morbi sem mauris,26,true
gravida nisi,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,39,true
ipsum,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,52,true
ipsum,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit,65,true
orci,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu,78,false
in,cursus vestibulum proin eu mi nulla ac enim in tempor turpis,91,true
varius ut blandit,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,104,false
in tempor,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,117,true
volutpat sapien arcu,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,130,false
dapibus,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis,143,true
erat quisque,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,156,true
tincidunt eu felis,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,169,true
lacinia,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,182,true
dolor morbi,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,195,false
erat,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,208,false
condimentum,nullam varius nulla facilisi cras non velit nec nisi vulputate,221,false
ut odio,ac nulla sed vel enim sit amet nunc viverra dapibus,234,true
vel,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,247,false
pede lobortis,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,260,false
montes nascetur,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras,273,false
et ultrices,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,286,false
augue vestibulum,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,299,false
id sapien,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,312,false
habitasse platea,morbi non quam nec dui luctus rutrum nulla tellus in,325,true
lorem quisque,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero,338,false
mauris,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,351,true
ac,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,364,false
praesent,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam,377,false
ut tellus nulla,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,390,false
dolor sit amet,erat id mauris vulputate elementum nullam varius nulla facilisi cras,403,false
lectus pellentesque eget,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam,416,true
donec diam neque,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,429,true
maecenas,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,442,true
ultrices posuere cubilia,justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,455,true
ante vestibulum,dapibus duis at velit eu est congue elementum in hac habitasse,468,false
luctus,pede lobortis ligula sit amet eleifend pede libero quis orci,481,true
sagittis nam,congue elementum in hac habitasse platea dictumst morbi vestibulum velit,494,false
libero,turpis donec posuere metus vitae ipsum aliquam non mauris morbi,507,true
ante nulla,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id,520,false
quis turpis,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,533,false
ultrices mattis,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,546,true
in,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur,559,true
lobortis,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa,572,false
lacinia eget tincidunt,id nisl venenatis lacinia aenean sit amet justo morbi ut,585,false
fusce congue diam,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt,598,true
nascetur ridiculus mus,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum,611,false
aliquam,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,624,true
non sodales sed,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh,637,false
quis orci nullam,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius,650,true
vulputate nonummy,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,663,true
ac consequat,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,676,true
metus,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,689,false
ut,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus,702,true
habitasse,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,715,false
